Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,0,0,,,,,,,,,,35475.1,,0,,,,,,,,0,,No,,0,0,,,,,,,0,,,0,1,,,,0
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,0.0,,,,,,,,,32243.0,,0,,,,,,,0.0,0,,No,,0,0,,0.0,,,,0.0,0,,,0,0,,,,0
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,50571.0,,0,,,,,,,,0,,No,,1,0,,,,,,,0,,,0,0,,,,0
CNP.N,,,,,,,,,,,,,,,,0.151989654637274,,,,,,,,,,,,,,0.00451746119749,,0.148290574091504,,,,,Reported,,4530.0,0,0,0.018244315177155,,,,,,,,,6684050.0,,0,4643.0,,,,,,138.0,1,,No,,0,0,,0.0,,0.598889476467478,,0.0,1,,,0,1,,0.613828662083554,,0
AMCR.N,,,,,0,,,,,,,,18.0542984001475,,,,,,,,,,0,,,,,,,1.26380088801033,,,1.95633566849089,,,,Reported,,,1,0,2.26768558251454,375618.63,,,,,,,,2049331.0,,0,,,,0.75,,,28272.37,0,,ISO 14000,40.435,0,0,,,,,3.5103268498095,,0,,,0,1,,,,0
WM.N,,,,,,,,,,,,,0.066907556342332,,,1.4742e-11,,,,,,,,,,,,,,,,7.58377e-10,,,,,Reported,,4.6903e-05,0,0,,,,,,,,,,15862973.0,,1,9.1175e-07,,,0.265587240212663,,,,0,,ISO 14000,,0,1,,,,3.034811e-09,,,1,,,1,1,,5.8994e-11,,0
BA.N,0,0,0,1,0,,,,,,,,,,,,0,0,0,1,1,0,0,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,1484000.0,,0,,,,,,,,0,,ISO 14000,,1,1,570000000,,,,,,1,,47000000,0,1,,,,0
FOX.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,65845.0,,0,,,,,,,,0,,No,,1,,,,,,,,0,,,1,1,,,,0
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,,,,0,,,,,,,,,,5430.79,,0,,,,,,,,0,,No,,0,,,,,,,,0,,,0,0,,,,
WY.N,,,,,,,,,,,,,181.467299528619,,,0.006039347683783,,,,,,,,,,,,,,,,0.073982009044435,0.235534559667519,,,,Reported,,2258.26851,,0,,,,,,,,,,900000.0,,1,184.34845,,,0.992678259422588,,,,0,,Both,100.0,0,1,57000000,47000.0,,,,6.24004248539565,1,,8000000,0,1,,,,0
