Instrument,Board Conflicts of Interest,Board Effectiveness Review,Board Oversight of Health and Safety,Board Related Party Transactions,Chief Legal Officer Report to Board,Code of Conduct Non-Compliance,Code of Conduct Oversight,Compliance Head Report to Board,C-Suite Risk Oversight,Chairperson Independent,Lead Independent Director,Bonus Cap Senior Executives,CEO Claw-Back,Executive Claw-Back,Executive Compensation Risk,Code of Conduct Claims,Targets Board Diversity Percent,Bonus Cap High Paid Staff,Bonus Cap Senior Executives Percent,Targets Board Diversity - Target Set Year,Targets Board Diversity - Target Year,Median Salary Gap,Current CEO Chairman Duality,Board Functions Policy,Corporate Governance Board Committee,Nomination Board Committee,Audit Board Committee,Compensation Board Committee,Board Structure Policy,Policy Board Size,Policy Board Independence,Policy Board Diversity,Policy Board Experience,Policy Executive Compensation Performance,Policy Executive Compensation ESG Performance,Policy Executive Retention,Compensation Improvement Tools,Internal Audit Department Reporting,Succession Plan,External Consultants,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee Expertise,Audit Committee NonExecutive Members,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Nomination Committee Independence,Nomination Committee Mgt Independence,Nomination Committee Involvement,Nomination Committee NonExecutive Members,Board Attendance,Number of Board Meetings,Board Meeting Attendance Average,Committee Meetings Attendance Average,Board Size More Ten Less Eight,Board Size,Board Background and Skills,"Board Gender Diversity, Percent","Board Specific Skills, Percent",Average Board Tenure,Non-Executive Board Members,Independent Board Members,Strictly Independent Board Members,CEO Chairman Duality,CEO Board Member,Chairman is ex-CEO,Board Member Affiliations,Board Individual Re-election,Board Member Membership Limits,Board Member Term Duration,Executive Compensation Policy,Executive Individual Compensation,Total Senior Executives Compensation,Highest Remuneration Package,CEO Compensation Link to TSR,Executive Compensation LT Objectives,Sustainability Compensation Incentives,Shareholders Approval Stock Compensation Plan,Board Member Compensation,Board Member LT Compensation Incentives,Executive Compensation Controversies,Mgt Compensation Controversies Count,Recent Mgt Compensation Controversies,"Board Cultural Diversity, Percent","Executive Members Gender Diversity, Percent",Chief Diversity Officer,Executives Cultural Diversity,Total Senior Executives Compensation To Revenues in million,Ethnic Minorities Board Percentage,Asian - Ethnic Minorities Board Percentage,Black or African American - Ethnic Minorities Board Percentage,Hispanic or Latino - Ethnic Minorities Board Percentage,White - Ethnic Minorities Board Percentage,Other - Ethnic Minorities Board Percentage
POOL.OQ,,,,,False,,,False,,True,,,,,,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,8,75.0,75.0,0,9,True,22.2222222222222,60.0,13.425,90.0,90.0,40.0,False,True,False,0.4,True,999,1,True,False,15485900,5575380.0,True,False,True,True,1626290,1,False,,,,28.5714285714286,,,2924.30668595319,11.11,,,11.11,88.89,
CHRW.OQ,,,,,False,,,False,,True,,,,,,,,,,,,178.0,False,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,,False,,,False,5,75.0,75.0,0,10,True,30.0,80.0,9.225,90.0,90.0,60.0,True,True,True,0.9,True,999,1,True,False,23549000,10233300.0,True,False,False,True,2372500,0,False,,,,8.33333333333333,,,1019.3445617498,8.0,,8.0,,92.0,
AJG.N,,,,,False,,,False,,False,,,,,,,,,,,,216.0,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,18,75.0,75.0,0,10,True,30.0,60.0,12.35,90.0,90.0,50.0,True,True,True,0.2,True,999,1,True,False,34198900,13882300.0,True,False,False,True,2607730,1,False,,,,8.33333333333333,,,4165.82210636587,20.0,,,,,
CNP.N,,,,,False,,,False,,True,,,,,,,,,,,,,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,8,75.0,75.0,0,9,True,33.3333333333333,38.4615384615385,7.38461538461539,84.6153846153846,84.6153846153846,,False,True,False,0.461538461538462,True,999,1,True,False,79404200,37809800.0,True,False,True,True,2487350,0,False,,,11.1111111111111,36.3636363636364,,,9507.20785440613,,,,,,
AMCR.N,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,,,,,,,239.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,6,75.0,75.0,1,11,True,27.2727272727273,33.3333333333333,6.14583333333333,91.6666666666667,91.6666666666667,50.0,False,True,False,1.66666666666667,True,999,1,True,False,29886402,9872758.0,True,False,True,True,3106134,0,False,,,45.4545454545455,15.3846153846154,,,2054.89562706271,,,,,,
WM.N,,,,,False,,,False,,True,,,,,,,,,,,,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,False,11,75.0,75.0,0,9,True,33.3333333333333,50.0,9.25,90.0,90.0,60.0,False,True,False,1.1,True,999,1,True,False,27606900,13057400.0,True,False,False,True,2555550,0,False,,,11.1111111111111,36.3636363636364,,,1539.61853772796,11.0,,,,89.0,11.0
BA.N,True,True,False,True,False,True,False,False,True,True,False,False,True,True,False,,,,,,,169.0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,87.5,False,85.7143,83.3333,True,0.0,83.3333,False,9,100.0,100.0,2,12,True,25.0,43.75,6.21875,93.75,93.75,,False,True,False,1.1875,True,999,1,True,False,57817100,21093600.0,True,False,True,True,4497130,,False,,,,17.6470588235294,,6.25,928.251934624153,25.0,,,,,
FOX.OQ,False,True,False,True,False,False,False,False,False,False,True,True,True,True,False,,,,200.0,,,237.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,100.0,True,True,100.0,100.0,True,100.0,100.0,True,0.0,100.0,True,4,100.0,100.0,0,8,True,12.5,87.5,3.0625,75.0,75.0,75.0,True,True,True,0.75,True,999,1,True,False,67734500,21748681.0,True,False,True,True,1979916,,False,,,12.5,0.0,,33.3333333333333,4847.18047803063,,,,,,
TKO.N,,,,,False,,,False,,False,,,,,,,,,,,,,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,83.3333,False,True,71.4286,85.7143,False,77.7778,66.6667,True,0.0,66.6667,False,10,75.0,,5,15,True,26.6666666666667,50.0,5.23333333333333,56.25,62.5,,True,True,True,0.125,True,999,1,True,False,23354539,12964600.0,True,False,False,True,2532539,,False,,,,30.7692307692308,,,23972.8712686318,,,,,,
WY.N,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,,,,200.0,,,176.0,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,100.0,True,True,100.0,100.0,True,100.0,,False,,,False,6,98.0,98.0,0,9,True,44.4444444444444,55.5555555555556,8.88888888888889,88.8888888888889,88.8888888888889,55.5555555555556,False,True,False,1.22222222222222,True,999,1,True,False,31272007,12969306.0,True,False,True,True,2364904,1,False,,,22.2222222222222,28.5714285714286,,,3070.69982325216,11.1,,,,,
