Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCR.N,B+,C+,66.8114391238785,43.4057195619393,20.0,B,A-,B,65.3500641545052,78.7381404174573,60.648080909439,A-,B-,C,C-,B+,A+,B+,A,B+,B+,81.4606741573034,53.3707865168539,37.8378378378378,31.3186813186813,67.2413793103448,96.1538461538462,70.2247191011236,83.8235294117647,69.1176470588235,67.741935483871
WM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOX.OQ,C+,C-,47.5533275820923,28.4936449231216,9.43396226415094,B+,D+,C+,68.0249035854031,21.4589310471663,44.973791973792,B,B,D-,B,A-,B-,B+,D,C,C,64.054054054054,64.3939393939394,0.0,66.4444444444444,78.169014084507,57.7777777777778,71.0526315789474,14.3578643578644,35.7720057720058,35.4946524064171
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,A-,B,77.7131800509298,61.0788122476871,44.4444444444444,B+,A,B+,71.4977458545736,90.9062049062049,71.4068176949047,B+,B+,C+,B+,A-,A+,C,A,A,A+,73.8726790450928,74.9370277078086,48.3050847457627,69.7761194029851,82.2222222222222,95.8955223880597,34.1370558375635,91.2987012987013,85.5555555555556,96.969696969697
MCD.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD.N,B,B,64.994367232142,64.994367232142,100.0,B+,C+,A,71.8038195453533,45.0729894267272,89.7050065913911,A,A+,A,B+,C,A,A-,C-,A,B+,84.7280334728033,95.2083333333333,87.6712328767123,70.2247191011236,39.0829694323144,85.7677902621723,79.2307692307692,28.7400455062571,84.0301478953356,68.3019713261649
SPG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVS.N,B+,B+,71.0825810566148,71.0825810566148,100.0,B,B+,A,62.9039971708757,67.789236906884,88.3728254769921,A,A+,C-,A+,C+,A+,C,A-,D,A-,89.2727272727273,97.0486111111111,30.46875,97.8964401294498,47.0588235294118,95.3074433656958,34.4481605351171,80.3030303030303,16.2337662337662,82.5534759358289
CTRA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMCI.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST.OQ,B+,C,71.8312518634049,38.0584830745596,4.28571428571429,B-,A-,A-,53.8926008606109,82.2246838129191,80.9972392582867,A-,A-,A-,C-,A-,B-,B,A+,B-,C,81.8681318681319,80.3191489361702,80.0,30.7291666666667,78.804347826087,52.6041666666667,65.2631578947369,99.3506493506494,56.2914862914863,35.4946524064171
MCO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LULU.OQ,B-,B-,54.3993068301987,54.3993068301987,100.0,C+,B+,B,42.4831625980819,68.9674748512687,66.2046207381136,B+,C,A-,C+,C,A,D,B,B+,A-,70.0,41.3461538461538,80.1652892561983,42.8125,39.0,90.3125,11.9354838709677,65.1450511945392,72.3407281001138,83.0197132616487
PAYX.OQ,B,B-,58.6210693656414,56.1623865346725,53.7037037037037,B,B-,B-,64.5978799560539,53.1733016438899,55.4935436046921,B+,A,D-,B,B,A,C-,C+,B+,B+,69.1419141914191,87.4613003095975,0.0,66.2393162393162,66.0344827586207,90.1709401709402,25.3602305475504,43.8816738816739,74.7041847041847,67.3351158645276
WSM.N,A-,A-,78.9271601821048,78.9271601821048,100.0,A-,A-,A-,76.1744098009836,82.7551469778708,77.3884096597314,A-,B+,A,C+,A,A,A-,A,A-,A-,76.7782426778243,71.0416666666667,87.6712328767123,49.625468164794,90.8296943231441,85.7677902621723,79.2307692307692,84.8265073947668,78.825369738339,78.2930107526882
AMD.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REG.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHI.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTD.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRV.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDC.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VTR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVZ.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZBRA.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMAT.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK.N,A-,B-,76.0970404787982,50.0050419785295,23.9130434782609,A,A-,B-,83.7322582071728,76.1632006337889,54.4130472701901,B+,C+,C+,A-,A,A+,B+,B+,A,B+,69.017094017094,47.1428571428571,50.0,79.6529968454259,90.4977375565611,97.1608832807571,69.4533762057878,74.8773448773449,86.3347763347763,67.3351158645276
DELL.N,B+,B+,69.9194743289359,69.9194743289359,100.0,B+,B,A-,68.0778638943912,62.1941681855807,83.130888030888,A-,B,A,A-,B-,A+,B-,B,C+,A+,81.4285714285714,64.4144144144144,91.0714285714286,81.140350877193,53.0,95.1754385964912,58.1081081081081,61.1632536973834,44.3543799772469,94.1084229390681
VRSN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TECH.OQ,B,B,64.85498762905,64.85498762905,100.0,A,B,C,88.6471479815859,60.017316017316,39.595542564852,C,C,C+,A,B+,A,A+,C+,A,B+,41.5966386554622,33.4782608695652,50.0,89.4578313253012,68.5185185185185,85.0401606425703,96.3039014373717,48.7012987012987,87.7489177489177,75.0
NVR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JBL.N,B+,B+,71.0637645860463,71.0637645860463,100.0,B+,B,A-,70.2442147840018,60.0634071810542,80.2085361428723,A+,B,A-,B,A,B+,C-,B-,B-,A-,93.4375,66.1585365853659,78.7735849056604,64.2441860465116,86.6666666666667,74.1279069767442,32.2289156626506,56.3203463203463,57.5468975468975,82.5534759358289
XYZ.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
