Instrument,ESG Score Grade,ESG Combined Score Grade,ESG Score,ESG Combined Score,ESG Controversies Score,Social Pillar Score Grade,Governance Pillar Score Grade,Environmental Pillar Score Grade,Social Pillar Score,Governance Pillar Score,Environmental Pillar Score,Resource Use Score Grade,Emissions Score Grade,Environmental Innovation Score Grade,Workforce Score Grade,Human Rights Score Grade,Community Score Grade,Product Responsibility Score Grade,Management Score Grade,Shareholders Score Grade,CSR Strategy Score Grade,Resource Use Score,Emissions Score,Environmental Innovation Score,Workforce Score,Human Rights Score,Community Score,Product Responsibility Score,Management Score,Shareholders Score,CSR Strategy Score
POOL.OQ,B-,B-,55.088342567739,55.088342567739,100.0,C,A,C-,38.0043369456926,89.1221393071117,26.7221908526257,C,B,D-,C,C,A-,D,A+,A,B-,33.695652173913,64.2857142857143,0.0,40.9090909090909,36.046511627907,80.9090909090909,14.1509433962264,96.5541294642857,89.8856026785714,50.8169934640523
CHRW.OQ,C+,C+,41.7507336955839,41.7507336955839,100.0,B-,C,C-,56.7935524242492,34.9288717223,31.1392317172664,C-,B-,D-,A,C-,B+,D+,C-,C+,B,33.2369942196532,58.1081081081081,0.0,83.9473684210526,28.125,71.3157894736842,23.1843575418994,25.7672991071429,46.8610491071429,62.8384687208217
AJG.N,B-,B-,55.9922333173341,55.9922333173341,100.0,B-,B+,C,51.2082533403282,68.9336107706972,33.9120308767655,D,C+,C,B,D+,B+,C-,A-,C+,B,13.6734693877551,48.3208955223881,35.8552631578947,60.1639344262295,23.1884057971014,73.1147540983606,32.5259515570934,77.1344866071429,44.9916294642857,63.8422035480859
CNP.N,C+,C+,48.74738128339,48.74738128339,100.0,C-,A,C,31.8152679865669,90.0351781337535,39.292695473251,D,B,C,C-,D,C+,C+,A+,A-,A,14.4444444444444,65.5555555555556,36.25,32.2222222222222,10.9756097560976,45.5555555555556,45.2380952380952,93.3175223214286,78.61328125,90.7563025210084
AMCR.N,B+,B+,70.5418230107174,70.5418230107174,100.0,B+,A-,B+,67.6336767775459,80.382669196711,67.3375921688279,A-,B+,C,C+,B,A+,B+,A-,A+,B+,82.7777777777778,69.4444444444444,38.8157894736842,48.3695652173913,65.9090909090909,92.3913043478261,68.5393258426966,77.9411764705882,92.6470588235294,74.1935483870968
WM.N,A,C+,84.5233915823853,46.1505846800816,7.77777777777778,A,A,B+,88.9170765410558,89.6816582535792,69.1342206196148,A+,A+,D-,A+,B+,A+,A+,A,A+,A,96.5116279069768,97.1036585365854,0.0,94.7154471544715,74.2049469964664,94.9864498644986,97.5988700564972,90.0809151785714,91.7271205357143,84.6171802054155
BA.N,A-,C+,81.0657599249597,49.2828799624798,17.5,A,B+,A-,89.3860142736398,71.8245153964364,78.2875929102345,A-,A,B+,A+,A+,A-,A-,B,A,A,81.6037735849057,83.3333333333333,70.7547169811321,99.5967741935484,94.5054945054945,76.6129032258064,82.4786324786325,63.6300223214286,90.6110491071429,84.6171802054155
FOX.OQ,B,C,64.4671867594658,39.6804018903712,14.8936170212766,A-,B-,B-,76.3435100112888,53.0686345268532,51.7513666126029,B+,A-,D-,B+,A-,A,B+,B-,B,C,71.7877094972067,75.5376344086021,0.0,68.2222222222222,79.8507462686567,85.7777777777778,72.5728155339806,53.882252559727,62.2440273037543,35.2374551971326
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,A-,A-,78.5151201205756,78.5151201205756,100.0,B+,A+,B+,71.2511083696855,92.2682279879792,72.5725418813748,A-,A-,B-,B+,A,A+,C,A+,A,A+,75.4641909814324,75.1889168765743,51.1945392491468,67.9455445544555,83.6601307189543,95.9158415841584,35.2417302798982,92.0790671217292,89.7753128555176,96.9534050179211
MCD.N,B+,C,66.759165032434,33.9748206114551,1.19047619047619,A-,C+,A-,75.6740354293498,41.7988506166355,79.6347303884616,A+,A-,D-,B,A-,B-,A,C,C+,B-,92.7238805970149,78.7272727272727,0.0,64.6579804560261,75.1184834123223,57.9804560260586,91.2587412587413,38.0161830357143,48.3956473214286,50.8169934640523
HD.N,B+,B+,68.392887784883,68.392887784883,100.0,B+,B-,A,70.5619861092302,56.7129690417834,86.932506772533,A-,A+,A,B,C,A,A-,C+,A,B+,81.2236286919831,92.0258620689655,86.4285714285714,61.5530303030303,40.990990990991,87.8787878787879,78.740157480315,46.0518973214286,83.88671875,69.2577030812325
SPG.N,B,B,59.9200882737499,59.9200882737499,100.0,B,B-,B,60.1457016020186,56.0223664118425,63.0794277150162,B-,A-,C-,C+,D,A+,C,C+,B+,A+,56.4,79.7738693467337,27.1929824561404,48.5401459854015,12.6315789473684,95.2554744525548,38.2731958762887,43.2896205357143,70.4380580357143,98.062558356676
HBAN.OQ,B+,B+,74.0886028623634,74.0886028623634,100.0,A-,B+,A-,78.0646213167161,67.7322534916744,76.2843016129824,A,A,B+,A,C,A+,B+,B,B+,A,88.2,83.8461538461539,71.414913957935,89.4974874371859,36.0909090909091,97.035175879397,73.0407523510972,63.18359375,71.6378348214286,84.6171802054155
LVS.N,B+,B+,72.9388951132245,72.9388951132245,100.0,B,B+,A,64.1430701118181,71.7490448171391,88.9206593334413,A,A+,C-,A+,C+,A+,C,A,D,A-,91.4233576642336,95.9219858156028,30.6451612903226,97.9099678456592,49.5633187772926,94.0514469453376,37.123745819398,86.9880546075085,13.438566552901,83.0197132616487
CTRA.N,C,C,37.785993552757,37.785993552757,76.7241379310345,C-,B,C,29.6714259090994,58.3696664429661,33.6182476943346,C+,B-,D-,D+,C-,C-,C-,B,B-,B,45.6862745098039,50.1811594202899,0.0,24.645390070922,32.7354260089686,31.7375886524823,29.1666666666667,59.3331473214286,54.3108258928571,59.640522875817
ON.OQ,B+,B+,70.1046643857577,70.1046643857577,100.0,A-,B+,B-,80.3206823269244,72.8478240254435,53.7716733502486,B-,A-,C-,A-,A,B+,A-,A-,C,A+,56.2222222222222,77.4678111587983,33.2278481012658,80.7539682539683,88.2926829268293,69.6428571428571,76.1506276150627,78.7527901785714,38.6579241071429,94.6078431372549
AIG.N,B+,B-,72.6582837344431,50.9843142810147,29.3103448275862,B,A,B-,63.1544909943349,89.48548256108,55.4399618449108,C+,B-,B,B,B-,A+,C-,A,A+,A+,47.1428571428571,52.4253731343284,59.2105263157895,62.4590163934426,57.2463768115942,91.9672131147541,32.5259515570934,85.1981026785714,97.8097098214286,98.4360410830999
AIZ.N,B+,B+,66.8720179201943,66.8720179201943,100.0,B+,B+,C-,72.2513797435456,72.1643093001089,32.1673773987207,A,B+,D-,B,C+,A,A,A-,B-,B,87.1428571428571,73.6940298507463,0.0,61.8032786885246,48.3091787439614,85.7377049180328,87.7162629757785,79.3387276785714,56.5987723214286,59.640522875817
CARR.N,B,B,65.8041524737131,65.8041524737131,100.0,A-,B,B-,79.2497043023868,66.2884728544195,50.7100418251291,A+,A-,D+,A,B-,A+,A,B-,A,A+,96.4521452145215,78.5240464344942,18.2751540041068,87.1189024390244,51.9408502772643,98.8567073170732,86.608557844691,53.4737723214286,87.6813616071429,98.2726423902895
EVRG.OQ,B+,B+,70.4783218296028,70.4783218296028,100.0,B,A+,B,59.9259136409779,94.6857553785403,64.3081436509409,D+,A-,A+,D+,A,A,B,A+,A,A+,23.0337078651685,77.2727272727273,94.6640316205534,22.9537366548043,90.1673640167364,89.5017793594306,62.7413127413127,96.1077008928571,88.2393973214286,97.2455648926237
SMCI.OQ,C+,C+,43.5491962327665,43.5491962327665,100.0,C+,B-,C,44.0087830367171,50.9235491071429,33.7164570230608,D,D,C+,D+,B,B-,C,B-,B+,D-,13.6792452830189,15.625,46.2962962962963,18.695652173913,59.6938775510204,52.1739130434783,35.3211009174312,55.0362723214286,71.1635044642857,0.0
COST.OQ,B+,B-,74.1127228413543,50.766038840032,27.4193548387097,C+,A,A+,47.6992782354546,84.915430127915,92.8023798663841,A+,A+,A-,C,A-,C-,B,A+,A-,C,96.2765957446808,93.0851063829787,77.8688524590164,37.1287128712871,80.4347826086956,29.2079207920792,63.6842105263158,97.4544937428897,76.2372013651877,35.2374551971326
MCO.N,B+,B+,68.0246021613992,68.0246021613992,100.0,B+,B,B,73.0968875247262,63.6243325455182,65.051768012934,A,A,D-,A+,B,A+,C-,C+,A,A+,90.8637873754153,91.3109756097561,0.0,96.070460704607,64.4876325088339,96.8834688346883,26.5536723163842,49.2327008928571,87.4860491071429,99.7899159663866
DIS.N,B+,C+,68.6703391663903,41.943865235369,15.2173913043478,A,C+,B-,85.7138158559808,49.8026267798786,57.951743402042,A+,A-,D-,A-,B+,A+,A+,C+,B-,B+,92.2413793103448,75.6983240223464,0.0,79.8672566371681,67.2,98.0088495575221,92.4390243902439,45.4380580357143,51.3811383928571,69.2577030812325
LULU.OQ,B-,B-,56.1484351702823,50.1330411145529,44.1176470588235,C+,B+,B+,43.3406654484139,72.7824767059602,67.2963285120379,B+,C+,A-,C+,C+,A-,D,B+,B,A,71.5686274509804,43.2885906040268,80.1724137931034,50.0,43.1034482758621,76.1146496815287,12.8289473684211,74.4838169642857,59.2215401785714,84.6171802054155
PAYX.OQ,B-,B-,57.8036399349394,57.8036399349394,100.0,B,C+,B+,58.4103624694566,49.8682112697306,68.0324572111191,B+,A,C,B+,C+,A,C-,C-,A+,B+,71.6393442622951,88.4259259259259,39.4308943089431,69.8879551820728,43.2758620689655,90.0560224089636,25.9365994236311,33.0062571103527,93.7855517633675,68.3019713261649
WSM.N,B+,B+,73.8603264469592,73.8603264469592,100.0,B+,B+,A-,74.2081777554219,71.2684492199658,78.2710779932517,B+,A-,A,B-,B+,A,A-,B,A-,A+,74.8945147679325,75.6465517241379,86.4285714285714,52.0833333333333,73.8738738738739,87.8787878787879,78.740157480315,65.1088169642857,77.9994419642857,91.9701213818861
AMD.OQ,B+,B+,67.9699080699332,67.9699080699332,72.7272727272727,B+,B,B+,69.9977384534482,61.3299668825864,70.7149256153893,A+,A+,C-,A,B-,A+,C+,B-,B+,A+,96.2222222222222,92.9184549356223,33.2278481012658,89.8809523809524,57.0731707317073,95.8333333333333,44.5606694560669,53.0552455357143,66.7271205357143,94.6078431372549
REG.OQ,A-,A-,76.6360354593437,76.6360354593437,100.0,A,B,B+,91.2390992950971,65.1355273011982,74.7416244127908,A-,A,C-,A,A,A+,A+,B,B,A,77.2,84.7989949748744,27.1929824561404,86.7396593673966,86.6666666666667,95.7420924574209,92.2680412371134,63.1556919642857,58.7472098214286,84.6171802054155
DHI.N,C+,C+,48.0177413824817,48.0177413824817,100.0,C,A-,C,39.105074557232,79.08203125,34.863039966102,D,D+,B-,C+,C,B,D+,A,A+,D-,13.4375,22.2560975609756,56.8840579710145,42.485549132948,36.4963503649635,60.9826589595376,17.6829268292683,88.9369419642857,98.9536830357143,0.0
TTD.OQ,D+,D+,18.3936590912957,18.3936590912957,100.0,C-,D,D-,31.3706042217493,12.7371651785714,0.0,D-,D-,D-,D+,D-,C+,C,D+,D-,D-,0.0,0.0,0.0,23.6842105263158,0.0,45.6140350877193,33.7756332931242,18.5407366071429,1.88337053571429,0.0
TRV.N,B+,B+,67.3924803175559,67.3924803175559,100.0,B,B+,B-,65.5228852515389,73.061494563103,56.929020311974,B+,B+,C+,B+,B,A,C-,B+,B,A,74.2857142857143,72.2014925373134,46.0526315789474,69.0163934426229,62.3188405797101,90.0,32.5259515570934,73.2282366071429,64.8018973214286,84.6171802054155
MOS.N,B+,B+,71.6757254530746,71.6757254530746,100.0,A-,A,B-,81.1440214167927,91.123396407174,51.58638255788,A,B+,D-,A,B+,A+,A-,A+,B,A+,83.9066339066339,71.9858156028369,0.0,87.1527777777778,69.9720670391062,99.1898148148148,78.345498783455,98.8978794642857,59.8353794642857,99.1830065359477
WDC.OQ,B,B,61.0222540625665,61.0222540625665,100.0,B+,C+,B,69.3054518871098,47.2095600392935,59.8714435459719,A,B+,C+,A-,A,B,C,C,C+,A,90.0943396226415,73.6607142857143,46.2962962962963,75.2173913043478,88.7755102040816,64.3478260869565,35.3211009174312,40.6947544642857,43.9871651785714,84.6171802054155
VTR.N,A-,A-,78.9200733530325,78.9200733530325,100.0,B+,A-,A,70.1104441498753,79.1051672405073,85.8510754272616,A-,A,A-,A-,A,A-,C,A,C-,A+,82.4,90.5778894472362,81.9298245614035,77.7372262773723,86.6666666666667,80.7785888077859,38.2731958762887,90.72265625,26.9949776785714,99.1830065359477
IVZ.N,A-,A-,76.8022382373038,76.8022382373038,100.0,B+,A-,B,74.1894776238966,83.1523622231587,62.9895955666377,A,A+,C+,A,C-,A,C+,A,B+,A+,85.3618421052632,92.5867507886435,42.2018348623853,90.0773195876289,27.3109243697479,87.5,42.9799426934097,85.3174603174603,67.0634920634921,96.4601769911504
ZBRA.OQ,B,B,60.18400072159,60.18400072159,75.0,B,B,B-,62.9157667457886,66.5262884667756,53.0288461538462,B,B,C-,C+,B+,A-,C,A,D,B,64.3333333333333,59.2948717948718,30.2083333333333,42.6470588235294,73.2824427480916,80.2941176470588,36.624203821656,84.8353794642857,10.0864955357143,59.640522875817
AMAT.OQ,A,A,86.027023705591,86.027023705591,100.0,A,A,A-,89.1754684829658,85.3475808726268,82.2641144975041,A,A-,A-,A,A,A+,A,A,A-,A,90.0,81.7596566523605,76.5822784810127,84.3253968253968,88.2926829268293,97.0238095238095,88.4937238493724,86.5931919642857,81.6824776785714,84.6171802054155
STX.OQ,B-,B-,55.3478901833526,55.3478901833526,100.0,B,C+,B-,59.9291406149373,48.3185185185185,53.9792602575621,B+,B,C+,A-,B,B,C,B-,D,A,69.3396226415094,62.9464285714286,46.2962962962963,82.1739130434783,59.6938775510204,64.3478260869565,35.3211009174312,52.7777777777778,8.33333333333333,86.0
FDS.N,B+,B+,74.1090096467066,74.1090096467066,100.0,B,A+,B,65.4354006778713,94.0837819502801,61.406398918047,A-,A,D-,B+,B+,A-,C-,A+,A,A+,81.5614617940199,91.0060975609756,0.0,72.7642276422764,74.2049469964664,76.8292682926829,26.5536723163842,95.80078125,84.5563616071429,99.7899159663866
KVUE.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYK.N,A-,B+,76.4482213511018,68.9059288573691,61.3636363636364,A-,A-,B-,81.1229914537346,81.4836833971481,52.4684156057174,B,C+,C+,A,A,A-,B+,A,A-,B+,62.9237288135593,46.5725806451613,50.0,84.9544072948328,90.7239819004525,80.5471124620061,71.2074303405573,84.8833902161547,78.9391353811149,68.3019713261649
DELL.N,B,B,64.4540682423685,64.4540682423685,73.0769230769231,B+,B,B,67.1944799079077,63.6699966444911,59.5304731955675,A+,B+,C+,A,B,A+,C,B+,D+,A+,91.9811320754717,70.9821428571429,46.2962962962963,89.1304347826087,59.6938775510204,95.2173913043478,35.3211009174312,69.3219866071429,24.2047991071429,94.6078431372549
VRSN.OQ,B-,B-,51.7292311045547,51.7292311045547,100.0,B-,B,D,55.2045510643053,59.579582701136,15.5859370092589,D+,C,D-,B-,C+,A-,C,B,B+,C,23.0891719745223,35.5029585798817,0.0,53.5087719298246,42.7433628318584,76.6666666666667,33.7756332931242,60.05859375,73.53515625,36.2511671335201
TECH.OQ,B+,B+,69.1830043287512,69.1830043287512,100.0,A,B,B-,89.0884368457241,58.9385543200362,57.3455882352941,C+,A-,C+,A,B+,A,A+,B-,B,A-,42.5,82.7731092436975,50.0,89.9801587301587,69.5454545454545,85.218253968254,96.849593495935,54.3657565415245,62.4431171786121,76.5456989247312
NVR.N,C-,C-,29.7684088507285,29.7684088507285,100.0,D+,A-,D-,19.2155286452631,76.2918526785715,6.69871794871795,D,D,D-,C-,D-,C+,D+,A,A-,D-,11.25,12.5,0.0,26.878612716763,0.0,43.0635838150289,17.6829268292683,90.3599330357143,80.2594866071429,0.0
JBL.N,B+,B+,68.7904797384465,68.7904797384465,100.0,B+,B-,A-,73.0401769988888,52.5103265767143,77.7722600945388,A,B,A-,B+,A,A-,C,C+,B-,A-,90.1273885350319,62.2699386503067,79.2452830188679,69.0751445086705,87.0748299319728,77.1676300578035,36.0606060606061,45.7195676905574,54.806598407281,83.0197132616487
XYZ.N,C+,C-,47.6873607466503,28.8436803733252,10.0,C+,C-,B+,45.4606814960505,32.0141867510893,74.1421825469597,A+,A-,C,B,C,B-,C-,C-,D,B,92.8571428571429,82.469512195122,39.4736842105263,65.4471544715447,34.6289752650177,54.3360433604336,26.5536723163842,32.3800223214286,11.6768973214286,60.6909430438842
LOW.N,A-,A-,79.6162567126941,79.6162567126941,100.0,A,A-,B+,85.6682538838051,78.6139499202459,68.1719876951217,A-,A-,C+,B,A+,A+,A,A-,B,A,75.3164556962025,79.0948275862069,42.8571428571429,65.719696969697,92.7927927927928,98.6742424242424,84.251968503937,81.6824776785714,64.3833705357143,84.6171802054155
BSX.N,A-,A-,80.8355275472865,77.9177637736433,75.0,A,A-,B-,90.427987233895,78.8465255894024,58.0332347698216,A,A+,D-,A+,B+,A+,A+,A-,A-,B+,85.1769911504425,94.3514644351465,0.0,98.0243161094225,71.0900473933649,94.0729483282675,98.7577639751553,80.4827008928571,79.78515625,69.2577030812325
SYY.N,B,B-,64.3653808792747,57.1826904396374,50.0,B,A-,C+,61.827537854389,82.9075582794068,46.2457212689859,C+,C-,A-,B-,B+,B-,B+,A,B,A-,46.484375,32.1705426356589,76.8292682926829,51.8115942028985,67.2727272727273,55.4347826086957,70.6106870229008,90.0312855517634,59.0870307167236,83.0197132616487
FCX.N,A-,A-,81.962969245654,76.940388732416,71.9178082191781,A-,A+,A-,75.5022939115697,93.0208150968721,81.6353993632336,A,A+,D-,B+,B+,A+,A-,A+,A-,A+,86.03515625,94.1904761904762,0.0,68.2468694096601,69.5804195804196,97.4060822898032,76.4887063655031,97.5864955357143,76.7438616071429,94.6078431372549
MAS.N,B+,B+,71.724923574107,71.724923574107,100.0,B+,A-,B+,71.5319643332859,76.9026282387955,67.9746144555927,B-,B,A-,C,A+,A-,B+,A+,C-,B,55.3125,62.5,79.7101449275362,39.5953757225434,91.970802919708,76.5895953757225,68.9024390243902,93.0943080357143,32.8822544642857,61.9747899159664
BEN.N,C+,C+,46.0082739047149,46.0082739047149,68.9655172413793,B,C-,B-,60.4964556511357,31.4238117121849,53.84159926026,A-,A+,C-,C+,D-,A,C+,D,B+,B,77.7960526315789,95.1104100946372,27.7522935779816,49.3556701030928,0.0,90.8505154639175,42.9799426934097,13.9090401785714,68.0385044642857,64.0756302521009
META.OQ,B+,C,67.3371828407,35.6572277839864,3.97727272727273,B,B+,B+,61.6277372055076,70.1171692635387,74.4587850137339,A+,A-,B-,A,A,B,C,A,D-,A+,99.6019108280255,81.1390532544379,52.2613065326633,89.4152046783626,86.8141592920354,59.4736842105263,33.7756332931242,86.1746651785714,0.265066964285714,94.6078431372549
PAYC.N,C+,C-,44.7381580643655,30.4816618136397,16.2251655629139,B+,D+,C,73.9626916336971,21.2135001896094,39.2684490682488,D-,B,B-,B,D+,A+,A-,D+,D,D+,3.95738203957382,66.4051355206847,52.1834061135371,64.1010575793185,23.3990147783251,95.710928319624,77.9376498800959,24.8151308304892,10.8503981797497,18.75
EXPE.OQ,B-,B-,52.423404191876,52.423404191876,100.0,B-,C-,A-,52.9038266874042,29.5279643289662,77.0620776581178,B+,A+,C-,A-,B+,A-,D+,D,C+,B+,68.4306569343066,94.1489361702128,30.6451612903226,77.0096463022508,73.1441048034935,78.9389067524116,17.3913043478261,14.43401592719,49.6160409556314,74.8655913978495
RJF.N,B,B,61.3319255963828,61.3319255963828,100.0,B,B-,A-,60.0607849096975,56.5151277524899,80.965944045955,B-,B,A+,C,B+,A,C+,C+,A-,B,56.0855263157895,65.1419558359621,97.2477064220184,34.1494845360825,72.0588235294118,87.5,42.9799426934097,48.5909598214286,80.8454241071429,59.640522875817
CL.N,A+,A+,92.3579442273335,92.3579442273335,100.0,A+,A,A+,94.2288826278556,88.5955918825864,92.4823607932877,A,A+,A+,A,A+,A+,A+,A,A-,A+,91.4772727272727,91.8478260869565,94.7368421052632,87.3737373737374,92.0731707317073,98.4848484848485,98.4210526315789,89.8856026785714,80.2873883928571,94.6078431372549
