Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
STAN.L,0,0,0,1,1,,,,,,,,0.003572936339639,,,,0,0,0,1,0,0,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,90533.0,,0,,,,0.61,,,,1,,ISO 14000,,0,0,,,,,,,0,,,0,1,,,,0
CCEPC.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRDA.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTO.L,0,0,0,1,1,,,,,,,,15659.6167451542,,,0.000826205546434,0,0,1,0,1,0,1,,,,,,,3548.00525420704,,0.014011069058272,,,,,Reported,,407.0,1,1,15584.1313091602,351823680.0,,,,,,,,2087350.0,,0,24.0,,,7.520975932e-05,,,103064094.0,1,,No,,0,0,,,,0.061541718329452,,,1,,,0,1,,0.003628995675447,,0
EZJ.L,0,0,0,1,1,,,,,,,,0.045204995139948,,,,0,0,0,1,1,0,1,,,,,,,0.012407630347483,,0.482323326612909,,,,,Reported,,4657.0,0,0,0.009625479657015,316.67,,,,,,,,8114410.0,,1,,,,0.992737186977341,,,119.8,0,,EMS,,1,0,,,,0.374172443762251,,,0,,,0,1,,,,0
BNZL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGE.L,0,0,0,1,1,,,,,,,,0.017499665703323,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,4635.1,,0,,,,,,,,1,,No,,1,,,,,,,,0,,,0,0,,,,0
SVT.L,1,1,0,1,1,,,,,,,,22.1445601232036,,,,0,0,1,0,1,0,1,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,531197.0,,0,,,,0.916499272527727,,,,0,,ISO 14000,,1,1,,0,,,,0.0,1,,,1,1,,,,0
LMPL.L,0,0,0,0,1,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,213.0,,0,,,,,,,,0,,No,,1,0,,,,,,,0,,,0,0,,,,0
ICAG.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REL.L,0,0,0,1,1,,,,,,,,,,,,0,0,0,1,0,0,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,32692.0,,0,,,,,,,,1,,ISO 14000,100.0,1,,,,,,,,1,,,0,1,,,,0
SMIN.L,1,0,0,1,1,,,,,,,,1.56741155896331,,,,0,1,1,1,0,0,1,,,,,,,0.151490690842379,,,0.005073290269988,,,,Reported,,,0,0,0.331056814813225,12459.0,,,,,,,,68676.0,,0,,,,0.696490719257541,,,1333.0,0,,ISO 14000,,0,0,,0,,,0.011086802153096,0.0,0,,,0,1,,,,0
BAB.L,1,0,0,1,1,,,,,,,,15.234852151669,,,,0,1,1,1,0,0,1,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,101057.0,,0,,,,0.232061059122265,,,,0,,ISO 14000,,0,0,,,,,,,0,,,0,0,,,,0
AZN.L,1,0,0,1,1,,,,,,,,0.112595314691711,0.002630151159243,,,1,1,1,1,0,0,1,,,,,,,0.041671189702148,,,,,,,Reported,,,0,0,0.179904943317367,16557.0,,,0.011355020065467,,,,,342412.0,,0,,,,0.405516454251474,,,9728.0,0,,ISO 14000,77.0,0,1,105000000,0,,,,0.0,1,,33000000,1,1,,,,0
HSBA.L,0,0,0,1,1,,,1,,,,,0.018459320671129,,,,0,0,0,0,0,0,1,,,1,,,,,,,,,,,Reported,,,,0,,,,,,,,,,98785.0,,0,,,,0.5,,,,1,,No,,1,1,,,,,,,1,,,1,1,,,,0
CTEC.L,0,0,0,1,1,,,,,,,,2.12969254956048,,,,0,0,0,1,0,0,1,,,,,,,0.862350917608916,,,,,,,Reported,,,,0,2.58955093482439,8712.0,,,,,,,,35684.0,,0,,,,0.68055737704918,,,5928.0,0,,ISO 14000,,0,0,,,,,,,1,,,0,0,,,,0
WPP.L,0,0,0,1,1,,,,,,,,0.127158259814065,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,64931.0,,0,,,,0.46,,,,1,,No,,1,,,,,,,,1,,,0,1,,,,0
FRES.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAF.L,0,0,0,1,1,,,,,,,,0.10567633782381,,,,0,0,0,0,1,0,1,,,,,,,0.07232234414587,,,,,,,Reported,,,,0,0.128132118451025,311.3,,,,,,,,114842.0,,0,,,,1.0,,,675.0,1,,No,,0,0,,,,,,,1,,,0,1,,,,0
