Instrument,Biodiversity Targets,Targets Pollution,Cost of Pollution and Waste,Policy Waste,Commitment to Align Disclosures with TCFD Recommendations,Scope 1 Estimated Date,Emission Controversies Count,Fossil Fuel Debt Finance count,Climate Risk Insurance Count,Wastewater Management Controversies Count,Low Carbon Transition Controversies Count,Pollution Controversies Count,Total Waste To EVIC USD in million,Water Pollutant Emissions To EVIC USD in million,Ozone-Depleting Substances To EVIC USD in million,SOx Emissions To EVIC USD in million,Biodiversity Due Diligence,Biodiversity Risk Assessment,Biodiversity Commitment,Targets Waste,Policy Pollution,Facilities Water Discharge,Reporting Against the TCFD Recommendations,Scope 2 Estimated Date,Recent Emission Controversies Count,Recent Fossil Fuel Debt Finance Count,Recent Climate Risk Insurance Count,Recent Wastewater Management Controversies Count,Recent Pollution Controversies Count,Total Hazardous Waste To EVIC USD in million,Flaring Gases To EVIC USD in million,NOx Emissions To EVIC USD in million,VOC Emissions To EVIC USD in million,Accidental Spills To EVIC USD in million,"GHG Emissions Direct, Scope 1 - 5 year CAGR","GHG Emissions Indirect, Scope 2 - 5 year CAGR",CO2 Estimation Method,Ozone-Depleting Substances,NOx Emissions,VOC or Particulate Matter Emissions Reduction,Particulate Matter Emissions Reduction,Total Hazardous Waste To Revenues USD in million,Non-Hazardous Waste,TRWASTERECYCLINGRATIO,TRWASTEREDUCTIONINITIATIVES,Water Pollutant Emissions To Revenues USD in million,TRWATERPOLLUTANTEMISSIONS,"GHG Emissions Direct, Scope 1 - 3 year CAGR","GHG Emissions Indirect, Scope 2 - 3 year CAGR",Total CO2 Equivalent Emissions To Million Revenues USD YoY,Estimated CO2 Equivalents Emission Total,Flaring Gases,NOx and SOx Emissions Reduction,SOx Emissions,TRVOCEMISSIONSREDUCTION,TRVOCEMISSIONS,Waste Recycled To Total Waste,TRWASTETOTAL,TRWASTERECYCLEDTOTAL,Hazardous Waste,e-Waste Reduction,TRWATERDISCHARGED,ISO 14000 or EMS,EMS Certified Percent,Staff Transportation Impact Reduction,Environmental Expenditures Investments,Environmental Provisions,Self-Reported Environmental Fines,Flaring Gases To Revenues USD in million,NOx Emissions To Revenues USD in million,VOC Emissions To Revenues USD in million,Self-Reported Environmental Fines To Revenues in million,Environmental Restoration Initiatives,Accidental Spills,Environmental Expenditures,Environmental Investments Initiatives,Environmental Partnerships,Ozone-Depleting Substances To Revenues USD in million,SOx Emissions To Revenues USD in million,Accidental Spills To Revenues USD in million,Policy Nuclear Safety
STAN.L,,,,,,,,,,,,,0.022369951088798,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,99158.0,,0,,,,0.32,,,,0,,No,,0,0,,,,,,,0,,,0,1,,,,0
CCEPC.L,,,,,1,,,,,,,,3.85311641023523,,,,,,,,,,1,,,,,,,0.012693876360786,,,,,,,Reported,,,,0,0.030803418466107,120714.0,,,,,,,,526266.0,,0,,,,0.962002427485076,,,399.0,0,,ISO 14000,100.0,0,1,,0,,,,0.0,1,,,1,1,,,,0
CRDA.L,,,,,1,,,,,,,,3.95117566740264,,,,,,,,,,0,,,,,,,0.586031194318366,,,0.009846754995323,,,,Reported,,,1,0,4.26574572150149,46564.0,,,,,,,,169640.0,,0,,,,0.307464379126808,,,8109.0,0,,ISO 14000,100.0,0,1,6300000,0,,,0.071674943926538,0.0,0,,200000,1,1,,,,0
ANTO.L,0,0,0,1,1,,,,,,,,23415.3482631225,,,,1,1,1,0,1,0,1,,,,,,,3923.83689917648,,,,,,,Reported,,,1,1,12451.0147119851,462025271.0,,,,,,,,2391440.0,,0,,,,6.3345486764e-05,,,93010325.0,1,,No,,0,1,336100000,,,,,,1,,33800000,0,1,,,,0
EZJ.L,0,0,0,1,1,,,,,,,,0.024518076590241,,,,0,0,0,0,1,0,1,,,,,,,0.00279598935188,,,,,,,Reported,,,0,0,0.018271906330541,278.83,,,,,,,,2115750.0,,1,,,,,,,35.89,0,,No,,0,0,,,,,,,0,,,0,1,,,,0
BNZL.L,0,0,0,1,1,,,,,,,,1.53091467963004,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,117989.0,,0,,,,0.5,,,,0,,ISO 14000,24.0,1,0,,,,,,,0,,,0,1,,,,0
SGE.L,,,,,1,,,,,,,,0.026967734471356,,,,,,,,,,1,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,5387.0,,0,,,,,,,,0,,No,,1,,,,,,,,0,,,0,0,,,,0
SVT.L,1,1,0,1,1,,,,,,,,30.3475956020399,,,,1,1,1,0,1,0,0,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,561829.0,,0,,,,,,,,0,,ISO 14000,,0,1,,,,,,,0,,,1,1,,,,0
LMPL.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,,0,,,,,,,,,,169.0,,0,,,,,,,,0,,No,,1,0,,,,,,,0,,,0,0,,,,0
ICAG.L,,,,,,,,,,,,,1.02379238078153,,,,,,,,,,,,,,,,,,,,,,,,Reported,,,0,0,,,,,,,,,,11068200.0,,1,,,,0.24,,,,0,,ISO 14000,,1,1,,,,,,,0,,,1,1,,,,0
