Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.051330314922,,,,True,False,False,False,False,False,False,False,False,False,19.456144508367,0.149564902102973,,297864.0,297864.0,192916.8,,,44550.0,,False,True,,,,,False,,False,False,False,,,44550.0,149564.902102973,,
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
CNP.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7740.4286882362,,,True,True,False,False,False,False,True,True,False,False,,,0.003932541047802,,,,,,,65509.2,False,True,31260.6604508197,236455635.65,,,False,,False,False,False,,,65509.2,,,
AMCR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,885.24741055548,301.28776219541,,,True,True,True,True,True,True,True,True,True,False,1588.43280529376,0.000237075880339,,19803786.0,19803786.0,13258897.99,,,4695.0,,True,False,540.61199117706,6740080.0,6740080.0,,True,True,True,False,False,,,4695.0,237.075880339244,,
WM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.54677594939,57.7235321754773,,,True,True,False,True,True,True,True,True,True,False,2803.38953089615,0.100559056101454,,43326385.2,30470281.2,2173258.8,12856104.0,,4356860.4,12856104.0,True,True,230.993206082174,3570000.0,3570000.0,,True,True,False,False,False,,,17212964.4,397285.956826142,,
BA.N,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,True,True,True,True,False,True,True,,,,,,,,,,,True,True,,,,,True,,False,True,False,,,,,,
FOX.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,True,False,False,True,True,False,False,,,,,,,6904.8,,,32997.6,True,False,,,,,False,,False,False,False,,,32997.6,,,
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,False,False,,,,,False,,False,False,False,,,,,,
WY.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241.65316122907,75.6472774279198,,,True,True,False,True,True,False,False,True,True,True,5031.98624269782,,,37900920.38,10224586.46,4677080.98,27676333.92,,,27676333.92,True,False,306.57197291556,2309100.1,2309100.1,,True,,True,False,False,,,27676333.92,730228.544386605,,
MCD.N,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,46889999.96249,False,False,,,,,,,,,,,,,43.7379809726177,,,,True,True,True,True,True,True,True,True,True,False,374.636046320046,0.150002552738725,,8003874.348,8003874.348,6166510.452,,,1200601.584,,True,True,,,,,True,True,False,False,False,,,1200601.584,150002.552738725,,
HD.N,False,True,False,False,False,False,False,True,True,False,True,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,103.851510304079,,,,True,True,True,True,True,True,True,True,True,False,227.903625592636,,,24659856.0,23596261.2,14030125.2,1063594.8,,,1063594.8,True,True,,,,,True,True,True,False,True,2,,1063594.8,43130.6168211201,,
SPG.N,False,False,False,False,False,True,False,True,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,2363806.0,False,False,,,,,,,,,,,,,,168.456809150838,,,True,True,False,True,True,True,False,True,False,False,,,,,2363806.0,2037413.0,,,2187.0,,True,False,2123.35806869244,12220327.0,12220327.0,,False,,False,False,False,,,2187.0,,,
HBAN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9827942429651,12.975221721022,,,True,True,False,False,True,True,True,True,False,False,149.22905742447,,,696452.011,691657.2,,4794.811,,,4794.8112,True,True,80.7362181272766,376795.93,376795.93,,False,True,False,False,False,,,4794.811,6884.62510592133,,
LVS.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903.0,,,,,False,False,,,,,,,,,,,,,70.713659537078,115.729571754771,,,True,True,False,True,True,True,True,True,True,False,1445.37653061224,0.177954618138484,,4249407.0,4247504.0,3037998.0,1903.0,,756201.6,1903.0,True,True,2365.49498367347,6954555.252,6954555.252,,True,True,False,False,False,,,758104.6,178402.445329431,,
CTRA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,True,False,False,True,True,False,False,,,,,,,,,,,False,False,,,,,False,True,False,True,False,,,,,,
ON.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.643609150207,1050.31352361563,,,True,True,True,True,True,True,True,True,True,True,1139.38360137009,,,6287004.774,6287004.774,5445575.039,,,,,False,False,2597.90862465793,14335000.0,14335000.0,6506000.0,True,True,False,False,False,,,,,,
AIG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,True,False,False,False,,,,,,,,,,,False,True,,,,,False,,False,False,False,,,,,,
