Instrument,Environmental Data Assurance Standard,Policy Resource Efficiency,Targets Resource Use,Facilities Water Withdrawal,Water Incidents,Water Management Plan Details,Water Stressed Targets,Water Use Target,Supplier Environmental Commitment,Supplier Environmental Due Diligence,Supplier Environmental Policy Communication,Supplier Environmental Policy Training,Supplier Environmental Risk Assessment,Target Sustainable Palm Oil Supply Chain,Total Water Usage Properties,Water Stressed Sites,Water Stressed Sites Percent,Water Withdrawal in Stressed Regions,Water Withdrawal in Stressed Regions Percent,Certified Palm Oil Percent Supply Chain,Electricity Produced from Nuclear,Electricity Produced from Coal,Electricity Produced from Oil,Electricity Produced from Gas,Electricity Produced from Combined Cycle Gas Turbine,Electricity Produced from Biomass,Electricity Produced from Hydro,Electricity Produced from Geothermal,Electricity Produced from Solar,Electricity Produced from Wind,Electricity Produced from Other Renewables,Renewable Electricity Produced Without Bifurcation,Total Energy Use from Properties,Energy Consumption External Assurance,Energy Consumption International Assurance Standard,Deforestation Controversies Count,Recent Deforestation Controversies Count,Water and Marine Resource Controversies Count,Recent Water and Marine Resource Controversies Count,Extraction Virgin Natural Resources ControversiesCount,Recent Extraction Virgin Natural Resources ControversiesCount,Exposure To Supply Risk ControversiesCount,Recent Exposure To Supply Risk ControversiesCount,ResourceUse Controversies count,Recent ResourceUse Controversies count,Biodiversity and Ecosystem Controversies Count,Recent Biodiversity and Ecosystem Controversies Count,Total Energy Use To EVIC USD in million,Water Use To EVIC USD in million,Electricity Purchased Per Tonne of Aluminum Production,Electricity Purchased Per Tonne of Chlorine Production,Resource Reduction Policy,Policy Water Efficiency,Policy Sustainable Packaging,Policy Environmental Supply Chain,Resource Reduction Targets,Targets Water Efficiency,Environment Management Team,Environment Management Training,Environmental Materials Sourcing,Toxic Chemicals Reduction,Total Energy Use To Revenues USD in million,Renewable Energy Use Ratio,Renewable Energy Supply,Energy Use Total,Energy Purchased Direct,Electricity Purchased,Electricity Produced,Cement Energy Use,Renewable Energy Purchased,Renewable Energy Produced,Renewable Energy Use,Green Buildings,Water Use To Revenues USD in million,Water Withdrawal Total,Fresh Water Withdrawal Total,Water Recycled,Environmental Supply Chain Management,Environmental Supply Chain Monitoring,Env Supply Chain Partnership Termination,Land Environmental Impact Reduction,Environmental Controversies,Environmental Controversies Count,Recent Environmental Controversies,Total Renewable Energy,Total Renewable Energy To Energy Use in million,Grid Loss Percentage,Coal Produced (Raw Material in Tonnes) Total
POOL.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRW.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNP.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMCR.N,True,True,False,False,True,True,False,False,True,False,True,False,False,False,,,,784000.0,12.11372,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,856.194826844126,309.569436834368,,,True,True,True,True,True,False,True,True,True,False,1312.31671554252,0.099217877094972,,17900000.0,17900000.0,,,,1776000.0,,True,False,474.486803519062,6472000.0,6472000.0,,True,True,True,False,False,,,1776000.0,99217.8770949721,,
WM.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOX.OQ,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,,,,True,True,False,True,False,False,True,True,True,False,,,,,,,,,,,False,True,,,,,False,,False,False,False,,,,,,
TKO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY.N,True,True,False,False,False,False,False,False,True,False,False,False,False,False,3355000,,,,,,,,,,,21287945.62,,,,,,,,False,False,,,1,,,,,,,,1,,1226.97045474833,131.417711988805,,,True,True,False,True,True,False,False,True,True,True,4396.92256316676,,,31323676.34,10035730.72,4523042.22,21287945.62,,,21287945.62,True,False,470.943290286356,3355000.0,3355000.0,,True,True,True,False,True,1,,21287945.62,679611.977500084,,
MCD.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD.N,False,True,False,False,False,False,False,True,True,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,59.1784291111151,,,,True,True,True,True,True,True,False,True,True,False,137.588737190524,,,21656880.0,20637720.0,9794160.0,1019160.0,,,1019160.0,True,True,,,,,True,True,True,False,False,,,1019160.0,47059.4102197546,,
SPG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBAN.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVS.N,True,True,False,False,True,False,False,True,True,True,True,False,True,False,1351000,,,,0.0,,,,,,,,,,3171.0,,,,,True,True,,,,,,,,,,,,,106.884247559911,161.923515288204,,,True,True,True,True,True,True,True,True,True,False,481.133740485042,,,5435849.0,5432679.0,3029877.0,3171.0,,,3171.0,True,True,728.890069038768,8235000.0,8235000.0,,True,True,False,False,False,,,3171.0,583.349537487152,,
CTRA.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ON.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIG.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIZ.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARR.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRG.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMCI.OQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST.OQ,False,True,False,False,False,False,False,False,True,False,True,False,False,True,,,,,,100,,,,,,,,,,,,,,False,False,,,,,,,,,,,,,,42.869603301005,,,True,True,True,True,False,False,True,True,True,True,,,,,,,,,,,True,True,67.647134645691,17213016.352,,,True,True,True,False,True,1,,,,,
MCO.N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
